,Survived,Sex,socioeconomicstatus,embarkedport,agegroup,familymembers,hasfamily
0,0,male,lower,Southampton,Young Adult,1,1
1,1,female,upper,Cherbourg,Adult,1,1
2,1,female,lower,Southampton,Adult,0,0
3,1,female,upper,Southampton,Adult,1,1
4,0,male,lower,Southampton,Adult,0,0
5,0,male,lower,Queenstown,Adult,0,0
6,0,male,upper,Southampton,Elder,0,0
7,0,male,lower,Southampton,Adolescent,4,1
8,1,female,lower,Southampton,Adult,2,1
9,1,female,middle,Cherbourg,Teenager,1,1
10,1,female,lower,Southampton,Adolescent,2,1
11,1,female,upper,Southampton,Elder,0,0
12,0,male,lower,Southampton,Young Adult,0,0
13,0,male,lower,Southampton,Adult,6,1
14,0,female,lower,Southampton,Teenager,0,0
15,1,female,middle,Southampton,Elder,0,0
16,0,male,lower,Queenstown,Adolescent,5,1
17,1,male,middle,Southampton,Adult,0,0
18,0,female,lower,Southampton,Adult,1,1
19,1,female,lower,Cherbourg,Adult,0,0
20,0,male,middle,Southampton,Adult,0,0
21,1,male,middle,Southampton,Adult,0,0
22,1,female,lower,Queenstown,Teenager,0,0
23,1,male,upper,Southampton,Adult,0,0
24,0,female,lower,Southampton,Adolescent,4,1
25,1,female,lower,Southampton,Adult,6,1
26,0,male,lower,Cherbourg,Adult,0,0
27,0,male,upper,Southampton,Young Adult,5,1
28,1,female,lower,Queenstown,Adult,0,0
29,0,male,lower,Southampton,Adult,0,0
30,0,male,upper,Cherbourg,Adult,0,0
31,1,female,upper,Cherbourg,Adult,1,1
32,1,female,lower,Queenstown,Adult,0,0
33,0,male,middle,Southampton,Elder,0,0
34,0,male,upper,Cherbourg,Adult,1,1
35,0,male,upper,Southampton,Elder,1,1
36,1,male,lower,Cherbourg,Adult,0,0
37,0,male,lower,Southampton,Young Adult,0,0
38,0,female,lower,Southampton,Teenager,2,1
39,1,female,lower,Cherbourg,Teenager,1,1
40,0,female,lower,Southampton,Adult,1,1
41,0,female,middle,Southampton,Adult,1,1
42,0,male,lower,Cherbourg,Adult,0,0
43,1,female,middle,Cherbourg,Adolescent,3,1
44,1,female,lower,Queenstown,Young Adult,0,0
45,0,male,lower,Southampton,Adult,0,0
46,0,male,lower,Queenstown,Adult,1,1
47,1,female,lower,Queenstown,Adult,0,0
48,0,male,lower,Cherbourg,Adult,2,1
49,0,female,lower,Southampton,Teenager,1,1
50,0,male,lower,Southampton,Adolescent,5,1
51,0,male,lower,Southampton,Young Adult,0,0
52,1,female,upper,Cherbourg,Elder,1,1
53,1,female,middle,Southampton,Adult,1,1
54,0,male,upper,Cherbourg,Elder,1,1
55,1,male,upper,Southampton,Adult,0,0
56,1,female,middle,Southampton,Young Adult,0,0
57,0,male,lower,Cherbourg,Adult,0,0
58,1,female,middle,Southampton,Adolescent,3,1
59,0,male,lower,Southampton,Teenager,7,1
60,0,male,lower,Cherbourg,Young Adult,0,0
61,1,female,upper,,Adult,0,0
62,0,male,upper,Southampton,Elder,1,1
63,0,male,lower,Southampton,Adolescent,5,1
64,0,male,upper,Cherbourg,Adult,0,0
65,1,male,lower,Cherbourg,Adult,2,1
66,1,female,middle,Southampton,Adult,0,0
67,0,male,lower,Southampton,Young Adult,0,0
68,1,female,lower,Southampton,Teenager,6,1
69,0,male,lower,Southampton,Adult,2,1
70,0,male,middle,Southampton,Adult,0,0
71,0,female,lower,Southampton,Teenager,7,1
72,0,male,middle,Southampton,Young Adult,0,0
73,0,male,lower,Cherbourg,Adult,1,1
74,1,male,lower,Southampton,Adult,0,0
75,0,male,lower,Southampton,Young Adult,0,0
76,0,male,lower,Southampton,Adult,0,0
77,0,male,lower,Southampton,Adult,0,0
78,1,male,middle,Southampton,Adolescent,2,1
79,1,female,lower,Southampton,Adult,0,0
80,0,male,lower,Southampton,Young Adult,0,0
81,1,male,lower,Southampton,Adult,0,0
82,1,female,lower,Queenstown,Adult,0,0
83,0,male,upper,Southampton,Adult,0,0
84,1,female,middle,Southampton,Teenager,0,0
85,1,female,lower,Southampton,Adult,3,1
86,0,male,lower,Southampton,Teenager,4,1
87,0,male,lower,Southampton,Adult,0,0
88,1,female,upper,Southampton,Young Adult,5,1
89,0,male,lower,Southampton,Young Adult,0,0
90,0,male,lower,Southampton,Adult,0,0
91,0,male,lower,Southampton,Young Adult,0,0
92,0,male,upper,Southampton,Elder,1,1
93,0,male,lower,Southampton,Adult,3,1
94,0,male,lower,Southampton,Elder,0,0
95,0,male,lower,Southampton,Adult,0,0
96,0,male,upper,Cherbourg,Elder,0,0
97,1,male,upper,Cherbourg,Young Adult,1,1
98,1,female,middle,Southampton,Adult,1,1
99,0,male,middle,Southampton,Adult,1,1
100,0,female,lower,Southampton,Adult,0,0
101,0,male,lower,Southampton,Adult,0,0
102,0,male,upper,Southampton,Young Adult,1,1
103,0,male,lower,Southampton,Adult,0,0
104,0,male,lower,Southampton,Adult,2,1
105,0,male,lower,Southampton,Adult,0,0
106,1,female,lower,Southampton,Young Adult,0,0
107,1,male,lower,Southampton,Adult,0,0
108,0,male,lower,Southampton,Adult,0,0
109,1,female,lower,Queenstown,Adult,1,1
110,0,male,upper,Southampton,Elder,0,0
111,0,female,lower,Cherbourg,Teenager,1,1
112,0,male,lower,Southampton,Young Adult,0,0
113,0,female,lower,Southampton,Young Adult,1,1
114,0,female,lower,Cherbourg,Teenager,0,0
115,0,male,lower,Southampton,Young Adult,0,0
116,0,male,lower,Queenstown,Elder,0,0
117,0,male,middle,Southampton,Adult,1,1
118,0,male,upper,Cherbourg,Young Adult,1,1
119,0,female,lower,Southampton,Adolescent,6,1
120,0,male,middle,Southampton,Young Adult,2,1
121,0,male,lower,Southampton,Adult,0,0
122,0,male,middle,Cherbourg,Adult,1,1
123,1,female,middle,Southampton,Adult,0,0
124,0,male,upper,Southampton,Elder,1,1
125,1,male,lower,Cherbourg,Teenager,1,1
126,0,male,lower,Queenstown,Adult,0,0
127,1,male,lower,Southampton,Young Adult,0,0
128,1,female,lower,Cherbourg,Adult,2,1
129,0,male,lower,Southampton,Elder,0,0
130,0,male,lower,Cherbourg,Adult,0,0
131,0,male,lower,Southampton,Young Adult,0,0
132,0,female,lower,Southampton,Elder,1,1
133,1,female,middle,Southampton,Adult,1,1
134,0,male,middle,Southampton,Young Adult,0,0
135,0,male,middle,Cherbourg,Young Adult,0,0
136,1,female,upper,Southampton,Young Adult,2,1
137,0,male,upper,Southampton,Adult,1,1
